image_id,dataset,category,split,image_path
mvtec_d6357fd3cf877bd9,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/000.png
mvtec_6c299911e86ab881,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/001.png
mvtec_5546e2e5aa0bed4d,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/002.png
mvtec_3f57017c46e174aa,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/003.png
mvtec_39e97bb8b7dd21e7,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/004.png
mvtec_cbaf7aa59d34e73e,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/005.png
mvtec_ad0f1926eb1740b2,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/006.png
mvtec_16536d3205281b2a,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/007.png
mvtec_a7944b1b2f350025,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/008.png
mvtec_47084347423bda7f,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/009.png
mvtec_8aaa80ad057017a9,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/010.png
mvtec_98b846cd4efbb24f,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/011.png
mvtec_54824fe4a5464203,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/012.png
mvtec_53e3efd22777d7de,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/013.png
mvtec_99d97dc125fc74de,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/014.png
mvtec_2c605443449fc856,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/015.png
mvtec_b33e888c5cf2268e,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/016.png
mvtec_c72ad79642e72cc9,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/017.png
mvtec_8fae87e834211fb5,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/018.png
mvtec_16aea350b54a3211,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/019.png
mvtec_77bc03fe6ec1c416,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/020.png
mvtec_1f16fb0307f3d40f,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/021.png
mvtec_95e6a07a3ad86a7e,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/022.png
mvtec_31e852a24f6cee13,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/023.png
mvtec_8fb7af968b11fd4d,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/024.png
mvtec_9ab8434c8230cd7f,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/025.png
mvtec_04f932b93d466e97,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/026.png
mvtec_c7558214f06fbfbf,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/027.png
mvtec_e2fa4c0fa1e4b17f,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/028.png
mvtec_7c082f384571505f,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/029.png
mvtec_e0e20c7534afd30c,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/030.png
mvtec_0d5ebb67232c04f7,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/031.png
mvtec_0f651b6a8e064b6b,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/032.png
mvtec_111df32cb021cd4f,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/033.png
mvtec_0ff5028ec4ab8535,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/034.png
mvtec_ee5247cc92202e94,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/035.png
mvtec_f4d42f8d4aa98224,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/036.png
mvtec_815c7fdab25b9574,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/037.png
mvtec_71ba27d996f32b57,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/038.png
mvtec_688503eb5368600b,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/039.png
mvtec_3b7fcf4f2e02c9ef,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/040.png
mvtec_f62d8f9c6927ec72,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/041.png
mvtec_929e7be85f525993,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/042.png
mvtec_647401866851ec46,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/043.png
mvtec_676245a2124380ba,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/044.png
mvtec_e275b1d2b9052b6c,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/045.png
mvtec_1b619786223a2630,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/046.png
mvtec_a6a4933dd4e9edaf,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/047.png
mvtec_f3e872edf0d810f8,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/048.png
mvtec_e4a12eda5aab20d4,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/049.png
mvtec_dcbd1cbcf90b40f9,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/050.png
mvtec_a65c1626862d24f0,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/051.png
mvtec_67378a3296739c72,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/052.png
mvtec_3de2aa40a174dcfd,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/053.png
mvtec_4d6ad71755f1e2d4,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/054.png
mvtec_e4b9a4321ea4eb1d,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/055.png
mvtec_706d4bced80e7061,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/056.png
mvtec_812346857ca2190a,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/057.png
mvtec_08a24270e072fe4f,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/058.png
mvtec_4fe081923d21575d,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/059.png
mvtec_cbe13182895b5de8,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/060.png
mvtec_8ce0556ca2d7b0a9,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/061.png
mvtec_df2530d15008ad37,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/062.png
mvtec_c3e8f5ed0f2fa885,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/063.png
mvtec_d6558e9844db0de6,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/064.png
mvtec_53422a31693d99dd,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/065.png
mvtec_74ed225aa747ad85,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/066.png
mvtec_5ead2ab5f4ca801f,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/067.png
mvtec_c65830c236d60ef2,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/068.png
mvtec_62880c30e2974f8b,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/069.png
mvtec_350a0643858a8402,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/070.png
mvtec_b3bd0453d32511ad,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/071.png
mvtec_050a470fb81f710e,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/072.png
mvtec_589d0d134d05a6ec,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/073.png
mvtec_4335f5c94fce0ea8,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/074.png
mvtec_c2874528b902181c,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/075.png
mvtec_e58e359fa83e95e5,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/076.png
mvtec_ef18594a9e3dd2e4,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/077.png
mvtec_c9f75e8240ff4faa,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/078.png
mvtec_1319bd66836e2495,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/079.png
mvtec_511d58e22482d22c,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/080.png
mvtec_dd40e037ee85b96f,mvtec,bottle,train,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/081.png
