image_id,dataset,category,split,image_path
visa_6e189c3c17482130,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0836.JPG
visa_8e77ba31e03736d8,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0451.JPG
visa_f9d6800c8b92d2ff,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0516.JPG
visa_ae135399c852519c,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0977.JPG
visa_59e038d3a8e937f3,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0249.JPG
visa_7aaa09fff7e24012,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0548.JPG
visa_120e3d25876be79c,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0362.JPG
visa_ef067f838848e371,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0074.JPG
visa_66ad0d62c8b07b65,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0650.JPG
visa_082a118fdc1d6e81,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0898.JPG
visa_418042466a27a59e,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0397.JPG
visa_aba623cbd8ccf935,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0090.JPG
visa_0eedea20a8d613df,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0202.JPG
visa_c4ae866bfc9c0318,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0414.JPG
visa_fbed01268b36c78c,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0655.JPG
visa_5d8754774643f53f,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0101.JPG
visa_53e027d6e3c45e4b,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0636.JPG
visa_d4bbb9e7f0f624f9,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0965.JPG
visa_5e59bcfa5cc5202a,visa,candle,train,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0141.JPG
