support_set_id,dataset,category,k_shot,seed,support_rank,image_id,image_path
visa_candle_k4_seed2,visa,candle,4,2,1,visa_e2219dbdb30ac328,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0821.JPG
visa_candle_k4_seed2,visa,candle,4,2,2,visa_8d4609c355ed45b0,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0778.JPG
visa_candle_k4_seed2,visa,candle,4,2,3,visa_1e5b1643405691e8,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0897.JPG
visa_candle_k4_seed2,visa,candle,4,2,4,visa_8f420e6d99e551a8,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0877.JPG
visa_capsules_k4_seed2,visa,capsules,4,2,1,visa_bb9d516938970c71,/data/gauss/ldh/myDatasets/VisA/capsules/Data/Images/Normal/473.JPG
visa_capsules_k4_seed2,visa,capsules,4,2,2,visa_881bc703153653bc,/data/gauss/ldh/myDatasets/VisA/capsules/Data/Images/Normal/458.JPG
visa_capsules_k4_seed2,visa,capsules,4,2,3,visa_07b8ec2ce16ed614,/data/gauss/ldh/myDatasets/VisA/capsules/Data/Images/Normal/021.JPG
visa_capsules_k4_seed2,visa,capsules,4,2,4,visa_fef81cf15fb7ac33,/data/gauss/ldh/myDatasets/VisA/capsules/Data/Images/Normal/227.JPG
visa_cashew_k4_seed2,visa,cashew,4,2,1,visa_bafe5d719fe39ae6,/data/gauss/ldh/myDatasets/VisA/cashew/Data/Images/Normal/159.JPG
visa_cashew_k4_seed2,visa,cashew,4,2,2,visa_83e2936f03a3e4db,/data/gauss/ldh/myDatasets/VisA/cashew/Data/Images/Normal/464.JPG
visa_cashew_k4_seed2,visa,cashew,4,2,3,visa_80c646dd82cba176,/data/gauss/ldh/myDatasets/VisA/cashew/Data/Images/Normal/114.JPG
visa_cashew_k4_seed2,visa,cashew,4,2,4,visa_edf57455794c299c,/data/gauss/ldh/myDatasets/VisA/cashew/Data/Images/Normal/403.JPG
visa_chewinggum_k4_seed2,visa,chewinggum,4,2,1,visa_42a6b7850c8bd6d5,/data/gauss/ldh/myDatasets/VisA/chewinggum/Data/Images/Normal/036.JPG
