expert,dataset,category,k_shot,seed,support_set_id,metrics_path,num_predictions,num_success,num_failed,average_tool_calls,average_runtime_ms,abstention_rate
winclip,mvtec,bottle,1,0,mvtec_bottle_k1_seed0,outputs/stage2/winclip_mvtec_grid/winclip/mvtec/bottle/k1/seed0/mvtec_bottle_k1_seed0/metrics.json,83,83,0,1.0,64.66890638834427,0.0
winclip,mvtec,bottle,1,1,mvtec_bottle_k1_seed1,outputs/stage2/winclip_mvtec_grid/winclip/mvtec/bottle/k1/seed1/mvtec_bottle_k1_seed1/metrics.json,83,83,0,1.0,65.27673302313694,0.0
winclip,mvtec,bottle,1,2,mvtec_bottle_k1_seed2,outputs/stage2/winclip_mvtec_grid/winclip/mvtec/bottle/k1/seed2/mvtec_bottle_k1_seed2/metrics.json,83,83,0,1.0,65.29061756859791,0.0
winclip,mvtec,bottle,1,3,mvtec_bottle_k1_seed3,outputs/stage2/winclip_mvtec_grid/winclip/mvtec/bottle/k1/seed3/mvtec_bottle_k1_seed3/metrics.json,83,83,0,1.0,65.05313166136662,0.0
winclip,mvtec,bottle,1,4,mvtec_bottle_k1_seed4,outputs/stage2/winclip_mvtec_grid/winclip/mvtec/bottle/k1/seed4/mvtec_bottle_k1_seed4/metrics.json,83,83,0,1.0,65.15764142246356,0.0
winclip,mvtec,bottle,2,0,mvtec_bottle_k2_seed0,outputs/stage2/winclip_mvtec_grid/winclip/mvtec/bottle/k2/seed0/mvtec_bottle_k2_seed0/metrics.json,83,83,0,1.0,65.37356971151543,0.0
winclip,mvtec,bottle,2,1,mvtec_bottle_k2_seed1,outputs/stage2/winclip_mvtec_grid/winclip/mvtec/bottle/k2/seed1/mvtec_bottle_k2_seed1/metrics.json,83,83,0,1.0,65.65577874285539,0.0
winclip,mvtec,bottle,2,2,mvtec_bottle_k2_seed2,outputs/stage2/winclip_mvtec_grid/winclip/mvtec/bottle/k2/seed2/mvtec_bottle_k2_seed2/metrics.json,83,83,0,1.0,65.2280647436673,0.0
winclip,mvtec,bottle,2,3,mvtec_bottle_k2_seed3,outputs/stage2/winclip_mvtec_grid/winclip/mvtec/bottle/k2/seed3/mvtec_bottle_k2_seed3/metrics.json,83,83,0,1.0,67.69451260123492,0.0
winclip,mvtec,bottle,2,4,mvtec_bottle_k2_seed4,outputs/stage2/winclip_mvtec_grid/winclip/mvtec/bottle/k2/seed4/mvtec_bottle_k2_seed4/metrics.json,83,83,0,1.0,65.52365831666098,0.0
