evaluator_only,analysis,selection_metric,dataset,category,k_shot,expert,comparison_expert,value,num_runs,num_samples
True,best_expert_by_category,image_auroc,mvtec,bottle,,patchcore,,0.916626984127,20,1660
True,best_expert_by_category,image_auroc,mvtec,cable,,anomalydino,,0.707308845577,20,3000
True,best_expert_by_category,image_auroc,mvtec,capsule,,anomalydino,,0.55592341444,20,2640
True,best_expert_by_category,image_auroc,mvtec,carpet,,winclip,,0.422893258427,20,2340
True,best_expert_by_category,image_auroc,mvtec,grid,,anomalydino,,0.47903091061,20,1560
True,best_expert_by_category,image_auroc,mvtec,hazelnut,,anomalydino,,0.705910714286,20,2200
True,best_expert_by_category,image_auroc,mvtec,leather,,patchcore,,0.560903532609,20,2480
True,best_expert_by_category,image_auroc,mvtec,metal_nut,,patchcore,,0.547360703812,20,2300
True,best_expert_by_category,image_auroc,mvtec,pill,,anomalydino,,0.699577195854,20,3340
True,best_expert_by_category,image_auroc,mvtec,screw,,anomalydino,,0.37587620414,20,3200
True,best_expert_by_category,image_auroc,mvtec,tile,,anomalydino,,0.800793650794,20,2340
True,best_expert_by_category,image_auroc,mvtec,toothbrush,,anomalydino,,0.765694444445,20,840
True,best_expert_by_category,image_auroc,mvtec,transistor,,anomalydino,,0.734770833333,20,2000
True,best_expert_by_category,image_auroc,mvtec,wood,,anomalydino,,0.798684210526,20,1580
True,best_expert_by_category,image_auroc,mvtec,zipper,,patchcore,,0.624330357143,20,3020
True,best_expert_by_k_shot,image_auroc,mvtec,,1,anomalydino,,0.589200908756,75,8625
True,best_expert_by_k_shot,image_auroc,mvtec,,2,anomalydino,,0.625042335266,75,8625
True,best_expert_by_k_shot,image_auroc,mvtec,,4,anomalydino,,0.649752949878,75,8625
True,best_expert_by_k_shot,image_auroc,mvtec,,8,anomalydino,,0.668540699818,75,8625
True,expert_score_margin,image_auroc,mvtec,bottle,1,patchcore,anomalydino,0.0299999999998,15,1245
True,expert_score_margin,image_auroc,mvtec,bottle,2,patchcore,anomalydino,0.0058730158728,15,1245
True,expert_score_margin,image_auroc,mvtec,bottle,4,patchcore,anomalydino,0.00873015873,15,1245
True,expert_score_margin,image_auroc,mvtec,bottle,8,patchcore,anomalydino,0.0073015873016,15,1245
True,expert_score_margin,image_auroc,mvtec,cable,1,patchcore,anomalydino,0.0122563718138,15,2250
True,expert_score_margin,image_auroc,mvtec,cable,2,anomalydino,patchcore,0.0185532233884,15,2250
True,expert_score_margin,image_auroc,mvtec,cable,4,anomalydino,patchcore,0.0606071964016,15,2250
True,expert_score_margin,image_auroc,mvtec,cable,8,anomalydino,patchcore,0.0125562218892,15,2250
True,expert_score_margin,image_auroc,mvtec,capsule,1,winclip,anomalydino,0.181810929398,15,1980
True,expert_score_margin,image_auroc,mvtec,capsule,2,anomalydino,patchcore,0.0051057040288,15,1980
True,expert_score_margin,image_auroc,mvtec,capsule,4,patchcore,anomalydino,0.0027921818908,15,1980
True,expert_score_margin,image_auroc,mvtec,capsule,8,anomalydino,patchcore,0.0149980055842,15,1980
True,expert_score_margin,image_auroc,mvtec,carpet,1,winclip,anomalydino,0.44165329053,15,1755
True,expert_score_margin,image_auroc,mvtec,carpet,2,anomalydino,patchcore,0.0601926163728,15,1755
True,expert_score_margin,image_auroc,mvtec,carpet,4,anomalydino,patchcore,0.0354735152488,15,1755
True,expert_score_margin,image_auroc,mvtec,carpet,8,anomalydino,patchcore,0.009550561798,15,1755
True,expert_score_margin,image_auroc,mvtec,grid,1,winclip,anomalydino,0.205513784461,15,1170
True,expert_score_margin,image_auroc,mvtec,grid,2,patchcore,anomalydino,0.0078529657478,15,1170
True,expert_score_margin,image_auroc,mvtec,grid,4,anomalydino,patchcore,0.00417710944024,15,1170
True,expert_score_margin,image_auroc,mvtec,grid,8,patchcore,anomalydino,0.0003341687552,15,1170
True,expert_score_margin,image_auroc,mvtec,hazelnut,1,anomalydino,patchcore,0.0450714285716,15,1650
True,expert_score_margin,image_auroc,mvtec,hazelnut,2,anomalydino,patchcore,0.0614285714284,15,1650
True,expert_score_margin,image_auroc,mvtec,hazelnut,4,anomalydino,patchcore,0.0907142857146,15,1650
True,expert_score_margin,image_auroc,mvtec,hazelnut,8,anomalydino,patchcore,0.0765714285714,15,1650
True,expert_score_margin,image_auroc,mvtec,leather,1,patchcore,anomalydino,0.0143342391302,15,1860
True,expert_score_margin,image_auroc,mvtec,leather,2,patchcore,anomalydino,0.0174592391304,15,1860
True,expert_score_margin,image_auroc,mvtec,leather,4,patchcore,anomalydino,0.0268342391306,15,1860
True,expert_score_margin,image_auroc,mvtec,leather,8,patchcore,anomalydino,0.0414402173914,15,1860
True,expert_score_margin,image_auroc,mvtec,metal_nut,1,winclip,patchcore,0.176246334311,15,1725
True,expert_score_margin,image_auroc,mvtec,metal_nut,2,patchcore,anomalydino,0.0692082111438,15,1725
True,expert_score_margin,image_auroc,mvtec,metal_nut,4,patchcore,anomalydino,0.0295210166176,15,1725
True,expert_score_margin,image_auroc,mvtec,metal_nut,8,patchcore,anomalydino,0.0932551319646,15,1725
True,expert_score_margin,image_auroc,mvtec,pill,1,winclip,anomalydino,0.0106382978724,15,2505
True,expert_score_margin,image_auroc,mvtec,pill,2,anomalydino,patchcore,0.0804146208404,15,2505
True,expert_score_margin,image_auroc,mvtec,pill,4,anomalydino,patchcore,0.0412984178938,15,2505
True,expert_score_margin,image_auroc,mvtec,pill,8,anomalydino,patchcore,0.0342062193122,15,2505
True,expert_score_margin,image_auroc,mvtec,screw,1,winclip,anomalydino,0.560278745645,15,2400
True,expert_score_margin,image_auroc,mvtec,screw,2,anomalydino,patchcore,0.0189383070302,15,2400
True,expert_score_margin,image_auroc,mvtec,screw,4,anomalydino,patchcore,0.0099610575938,15,2400
True,expert_score_margin,image_auroc,mvtec,screw,8,patchcore,anomalydino,0.0123385939738,15,2400
True,expert_score_margin,image_auroc,mvtec,tile,1,winclip,anomalydino,0.0227994227992,15,1755
True,expert_score_margin,image_auroc,mvtec,tile,2,anomalydino,patchcore,0.0049783549782,15,1755
True,expert_score_margin,image_auroc,mvtec,tile,4,anomalydino,patchcore,0.0121933621932,15,1755
True,expert_score_margin,image_auroc,mvtec,tile,8,anomalydino,patchcore,0.0183982683986,15,1755
True,expert_score_margin,image_auroc,mvtec,toothbrush,1,anomalydino,patchcore,0.0083333333334,15,630
True,expert_score_margin,image_auroc,mvtec,toothbrush,2,patchcore,anomalydino,0.0016666666666,15,630
True,expert_score_margin,image_auroc,mvtec,toothbrush,4,anomalydino,patchcore,0.006666666667,15,630
True,expert_score_margin,image_auroc,mvtec,toothbrush,8,anomalydino,patchcore,0.0127777777778,15,630
True,expert_score_margin,image_auroc,mvtec,transistor,1,patchcore,anomalydino,0.0470833333336,15,1500
True,expert_score_margin,image_auroc,mvtec,transistor,2,anomalydino,patchcore,0.052916666667,15,1500
True,expert_score_margin,image_auroc,mvtec,transistor,4,anomalydino,patchcore,0.01375,15,1500
True,expert_score_margin,image_auroc,mvtec,transistor,8,anomalydino,patchcore,0.0280000000002,15,1500
True,expert_score_margin,image_auroc,mvtec,wood,1,anomalydino,patchcore,0.0298245614034,15,1185
True,expert_score_margin,image_auroc,mvtec,wood,2,anomalydino,patchcore,0.0250877192984,15,1185
True,expert_score_margin,image_auroc,mvtec,wood,4,anomalydino,patchcore,0.0678947368422,15,1185
True,expert_score_margin,image_auroc,mvtec,wood,8,anomalydino,patchcore,0.0766666666668,15,1185
True,expert_score_margin,image_auroc,mvtec,zipper,1,patchcore,anomalydino,0.0304621848736,15,2265
True,expert_score_margin,image_auroc,mvtec,zipper,2,patchcore,anomalydino,0.062027310924,15,2265
True,expert_score_margin,image_auroc,mvtec,zipper,4,patchcore,anomalydino,0.073844537815,15,2265
True,expert_score_margin,image_auroc,mvtec,zipper,8,patchcore,winclip,0.0858193277314,15,2265
True,expert_disagreement_rate,image_auroc,mvtec,bottle,1,,,1,5,415
True,expert_disagreement_rate,image_auroc,mvtec,bottle,2,,,0.742168674699,5,415
True,expert_disagreement_rate,image_auroc,mvtec,bottle,4,,,0.881927710843,5,415
True,expert_disagreement_rate,image_auroc,mvtec,bottle,8,,,0.621686746988,5,415
True,expert_disagreement_rate,image_auroc,mvtec,cable,1,,,0.988,5,750
True,expert_disagreement_rate,image_auroc,mvtec,cable,2,,,0.750666666667,5,750
True,expert_disagreement_rate,image_auroc,mvtec,cable,4,,,0.636,5,750
True,expert_disagreement_rate,image_auroc,mvtec,cable,8,,,0.565333333333,5,750
True,expert_disagreement_rate,image_auroc,mvtec,capsule,1,,,1,5,660
True,expert_disagreement_rate,image_auroc,mvtec,capsule,2,,,0.574242424242,5,660
True,expert_disagreement_rate,image_auroc,mvtec,capsule,4,,,0.572727272727,5,660
True,expert_disagreement_rate,image_auroc,mvtec,capsule,8,,,0.525757575758,5,660
