expert,category,k_shot,num_runs,num_samples,num_normal,num_anomaly,image_auroc_mean,image_ap_mean,image_f1_max_mean
anomalydino,bottle,1,5,415,100,315,0.877777777778,0.960901011426,0.904244208488
anomalydino,bottle,2,5,415,100,315,0.909841269841,0.973574279076,0.916809073017
anomalydino,bottle,4,5,415,100,315,0.905555555556,0.971707857852,0.915363502002
anomalydino,bottle,8,5,415,100,315,0.921428571429,0.976573455684,0.936032532723
anomalydino,cable,1,5,750,290,460,0.645764617691,0.780558909392,0.780909699827
anomalydino,cable,2,5,750,290,460,0.69700149925,0.809588022642,0.790907644351
anomalydino,cable,4,5,750,290,460,0.746214392804,0.839999608655,0.7941467168
anomalydino,cable,8,5,750,290,460,0.740254872564,0.837377537516,0.786560923231
anomalydino,capsule,1,5,660,115,545,0.521579577184,0.851474617727,0.905318118949
anomalydino,capsule,2,5,660,115,545,0.553649780614,0.861667037533,0.906683736891
anomalydino,capsule,4,5,660,115,545,0.573274830475,0.870578527202,0.907585837717
anomalydino,capsule,8,5,660,115,545,0.575189469485,0.870401541956,0.909555517494
anomalydino,carpet,1,5,585,140,445,0.369983948636,0.728177140817,0.864077669903
anomalydino,carpet,2,5,585,140,445,0.373194221509,0.738752129517,0.864920672508
anomalydino,carpet,4,5,585,140,445,0.39341894061,0.744438880469,0.864077669903
anomalydino,carpet,8,5,585,140,445,0.408667736758,0.75162788146,0.864077669903
anomalydino,grid,1,5,390,105,285,0.393650793651,0.694237546646,0.86193988734
anomalydino,grid,2,5,390,105,285,0.470342522974,0.71735124292,0.863591714049
anomalydino,grid,4,5,390,105,285,0.426065162907,0.70537857906,0.865051674246
anomalydino,grid,8,5,390,105,285,0.626065162907,0.800927725305,0.879444091505
anomalydino,hazelnut,1,5,550,200,350,0.6755,0.81719863455,0.78628893887
anomalydino,hazelnut,2,5,550,200,350,0.7115,0.844548852054,0.791226358301
anomalydino,hazelnut,4,5,550,200,350,0.711785714286,0.841407102109,0.794340911264
anomalydino,hazelnut,8,5,550,200,350,0.724857142857,0.85049126946,0.793373876499
anomalydino,leather,1,5,620,160,460,0.499252717391,0.81424817563,0.851851851852
anomalydino,leather,2,5,620,160,460,0.541304347826,0.824989021046,0.852373500261
anomalydino,leather,4,5,620,160,460,0.562839673913,0.83109120181,0.851851851852
anomalydino,leather,8,5,620,160,460,0.540149456522,0.824346345047,0.851851851852
anomalydino,metal_nut,1,5,575,110,465,0.463538611926,0.789192071753,0.895776772247
anomalydino,metal_nut,2,5,575,110,465,0.430498533724,0.773491549406,0.894230769231
anomalydino,metal_nut,4,5,575,110,465,0.568426197458,0.834119046329,0.89916317933
anomalydino,metal_nut,8,5,575,110,465,0.492179863148,0.817190298808,0.895958751394
anomalydino,pill,1,5,835,130,705,0.660938352428,0.918148017239,0.916781257958
anomalydino,pill,2,5,835,130,705,0.722640480087,0.936466947837,0.919280740888
anomalydino,pill,4,5,835,130,705,0.694708128751,0.928398131501,0.920352234221
anomalydino,pill,8,5,835,130,705,0.720021822149,0.933943819929,0.921476813998
anomalydino,screw,1,5,800,205,595,0.437507686001,0.687795408947,0.853046594982
anomalydino,screw,2,5,800,205,595,0.375609756098,0.666244890203,0.853046594982
anomalydino,screw,4,5,800,205,595,0.380487804878,0.669069356721,0.853046594982
anomalydino,screw,8,5,800,205,595,0.309899569584,0.636313339343,0.853046594982
