evaluator_only,selection_metric,dataset,category,k_shot,expert,selection_count
True,image_auroc,mvtec,bottle,1,anomalydino,1
True,image_auroc,mvtec,bottle,1,patchcore,4
True,image_auroc,mvtec,bottle,2,anomalydino,2
True,image_auroc,mvtec,bottle,2,patchcore,3
True,image_auroc,mvtec,bottle,4,anomalydino,2
True,image_auroc,mvtec,bottle,4,patchcore,3
True,image_auroc,mvtec,bottle,8,patchcore,5
True,image_auroc,mvtec,cable,1,anomalydino,1
True,image_auroc,mvtec,cable,1,patchcore,4
True,image_auroc,mvtec,cable,2,anomalydino,3
True,image_auroc,mvtec,cable,2,patchcore,2
True,image_auroc,mvtec,cable,4,anomalydino,5
True,image_auroc,mvtec,cable,8,anomalydino,4
True,image_auroc,mvtec,cable,8,patchcore,1
True,image_auroc,mvtec,capsule,1,winclip,5
True,image_auroc,mvtec,capsule,2,anomalydino,3
True,image_auroc,mvtec,capsule,2,patchcore,2
True,image_auroc,mvtec,capsule,4,anomalydino,2
True,image_auroc,mvtec,capsule,4,patchcore,3
True,image_auroc,mvtec,capsule,8,anomalydino,3
True,image_auroc,mvtec,capsule,8,patchcore,2
True,image_auroc,mvtec,carpet,1,winclip,5
True,image_auroc,mvtec,carpet,2,anomalydino,4
True,image_auroc,mvtec,carpet,2,patchcore,1
True,image_auroc,mvtec,carpet,4,anomalydino,4
True,image_auroc,mvtec,carpet,4,patchcore,1
True,image_auroc,mvtec,carpet,8,anomalydino,3
True,image_auroc,mvtec,carpet,8,patchcore,2
True,image_auroc,mvtec,grid,1,patchcore,1
True,image_auroc,mvtec,grid,1,winclip,4
True,image_auroc,mvtec,grid,2,anomalydino,2
True,image_auroc,mvtec,grid,2,patchcore,2
True,image_auroc,mvtec,grid,2,winclip,1
True,image_auroc,mvtec,grid,4,anomalydino,3
True,image_auroc,mvtec,grid,4,patchcore,2
True,image_auroc,mvtec,grid,8,anomalydino,3
True,image_auroc,mvtec,grid,8,patchcore,2
True,image_auroc,mvtec,hazelnut,1,anomalydino,4
True,image_auroc,mvtec,hazelnut,1,patchcore,1
True,image_auroc,mvtec,hazelnut,2,anomalydino,5
True,image_auroc,mvtec,hazelnut,4,anomalydino,5
True,image_auroc,mvtec,hazelnut,8,anomalydino,5
True,image_auroc,mvtec,leather,1,anomalydino,1
True,image_auroc,mvtec,leather,1,patchcore,4
True,image_auroc,mvtec,leather,2,anomalydino,1
True,image_auroc,mvtec,leather,2,patchcore,4
True,image_auroc,mvtec,leather,4,anomalydino,1
True,image_auroc,mvtec,leather,4,patchcore,4
True,image_auroc,mvtec,leather,8,patchcore,5
True,image_auroc,mvtec,metal_nut,1,winclip,5
True,image_auroc,mvtec,metal_nut,2,patchcore,4
True,image_auroc,mvtec,metal_nut,2,winclip,1
True,image_auroc,mvtec,metal_nut,4,anomalydino,1
True,image_auroc,mvtec,metal_nut,4,patchcore,4
True,image_auroc,mvtec,metal_nut,8,patchcore,5
True,image_auroc,mvtec,pill,1,anomalydino,2
True,image_auroc,mvtec,pill,1,patchcore,1
True,image_auroc,mvtec,pill,1,winclip,2
True,image_auroc,mvtec,pill,2,anomalydino,5
True,image_auroc,mvtec,pill,4,anomalydino,5
True,image_auroc,mvtec,pill,8,anomalydino,4
True,image_auroc,mvtec,pill,8,patchcore,1
True,image_auroc,mvtec,screw,1,winclip,5
True,image_auroc,mvtec,screw,2,anomalydino,4
True,image_auroc,mvtec,screw,2,patchcore,1
True,image_auroc,mvtec,screw,4,anomalydino,3
True,image_auroc,mvtec,screw,4,patchcore,2
True,image_auroc,mvtec,screw,8,anomalydino,2
True,image_auroc,mvtec,screw,8,patchcore,3
True,image_auroc,mvtec,tile,1,anomalydino,3
True,image_auroc,mvtec,tile,1,winclip,2
True,image_auroc,mvtec,tile,2,anomalydino,4
True,image_auroc,mvtec,tile,2,patchcore,1
True,image_auroc,mvtec,tile,4,anomalydino,3
True,image_auroc,mvtec,tile,4,patchcore,2
True,image_auroc,mvtec,tile,8,anomalydino,5
True,image_auroc,mvtec,toothbrush,1,anomalydino,5
True,image_auroc,mvtec,toothbrush,2,anomalydino,2
True,image_auroc,mvtec,toothbrush,2,patchcore,1
True,image_auroc,mvtec,toothbrush,2,winclip,2
True,image_auroc,mvtec,toothbrush,4,anomalydino,3
True,image_auroc,mvtec,toothbrush,4,patchcore,2
True,image_auroc,mvtec,toothbrush,8,anomalydino,5
True,image_auroc,mvtec,transistor,1,anomalydino,1
True,image_auroc,mvtec,transistor,1,patchcore,4
True,image_auroc,mvtec,transistor,2,anomalydino,5
True,image_auroc,mvtec,transistor,4,anomalydino,3
True,image_auroc,mvtec,transistor,4,patchcore,2
True,image_auroc,mvtec,transistor,8,anomalydino,5
True,image_auroc,mvtec,wood,1,anomalydino,4
True,image_auroc,mvtec,wood,1,patchcore,1
True,image_auroc,mvtec,wood,2,anomalydino,4
True,image_auroc,mvtec,wood,2,patchcore,1
True,image_auroc,mvtec,wood,4,anomalydino,4
True,image_auroc,mvtec,wood,4,winclip,1
True,image_auroc,mvtec,wood,8,anomalydino,5
True,image_auroc,mvtec,zipper,1,anomalydino,1
True,image_auroc,mvtec,zipper,1,patchcore,2
True,image_auroc,mvtec,zipper,1,winclip,2
True,image_auroc,mvtec,zipper,2,patchcore,4
True,image_auroc,mvtec,zipper,2,winclip,1
True,image_auroc,mvtec,zipper,4,patchcore,5
True,image_auroc,mvtec,zipper,8,patchcore,5
