evaluator_only,policy_name,policy_kind,aggregation,num_folds,expected_num_folds,auroc_mean,auroc_std,ap_mean,ap_std,f1_mean,f1_std,oracle_regret_mean,oracle_regret_std,selection_agreement_with_oracle,selection_agreement_with_oracle_std,estimated_runtime_ms_mean,estimated_runtime_ms_std,average_estimated_runtime_ms_mean,average_estimated_runtime_ms_std,tool_calls_mean,tool_calls_std,average_tool_calls_mean,average_tool_calls_std,abstention_rate_mean,abstention_rate_std
True,always_anomalydino,realizable_policy,macro_category,5,5,0.600392304368,0.00545855988443,0.79881371882,0.00393709091532,0.0368122705447,0.00536770825192,0.0210726768166,0.00230149620592,0.516666666667,0.0182574185835,473975.876112,99.9849793374,68.6921559583,0.0144905767156,6900,0,1,0,0,0
True,always_anomalydino,realizable_policy,macro_run,5,5,0.633134223429,0.00316457586087,0.829201902248,0.00196217103072,0.0329455325864,0.00438193952471,0.0468784111937,0.00503274992755,0.516666666667,0.0182574185835,473975.876112,99.9849793374,68.6921559583,0.0144905767156,6900,0,1,0,0,0
True,always_anomalydino,realizable_policy,micro,5,5,0.508167364839,0.00570230459589,0.748273091457,0.00298620400029,0.0402605356742,0.00662851956243,0.018003875837,0.00637562833387,0.501449275362,0.0201170696756,473975.876112,99.9849793374,68.6921559583,0.0144905767156,6900,0,1,0,0,0
True,always_patchcore,realizable_policy,macro_category,5,5,0.603145914084,0.00811567389086,0.801126557451,0.00429216791065,0.0627533136592,0.00675850257391,0.0183190671008,0.00638594260101,0.363333333333,0.0244948974278,370691.007374,328.879864849,53.723334402,0.0476637485289,6900,0,1,0,0,0
True,always_patchcore,realizable_policy,macro_run,5,5,0.623977141241,0.00816589203729,0.827244510558,0.00360158527316,0.0562950664561,0.00505928315609,0.0560354933823,0.00627898578651,0.363333333333,0.0244948974278,370691.007374,328.879864849,53.723334402,0.0476637485289,6900,0,1,0,0,0
True,always_patchcore,realizable_policy,micro,5,5,0.51191630524,0.00768182073014,0.746946992755,0.00299350555641,0.0711695721446,0.0112970242926,0.0142549354368,0.00397551957985,0.373652173913,0.014268526282,370691.007374,328.879864849,53.723334402,0.0476637485289,6900,0,1,0,0,0
True,always_winclip,realizable_policy,macro_category,5,5,0.486862174099,0.00412358915132,0.735444561316,0.00145968198117,0.706259596259,0.00514495815408,0.134602807086,0.00821396214536,0.12,0.0194365063162,528735.738885,283.3582375,76.6283679543,0.0410664112319,6900,0,1,0,0,0
True,always_winclip,realizable_policy,macro_run,5,5,0.48262165861,0.00485523789292,0.741115499247,0.00289126626282,0.67851968265,0.00894068380501,0.197390976013,0.00946101195319,0.12,0.0194365063162,528735.738885,283.3582375,76.6283679543,0.0410664112319,6900,0,1,0,0,0
True,always_winclip,realizable_policy,micro,5,5,0.465787674089,0.00996072041717,0.724555455266,0.00299695391269,0.708188752538,0.00395921204337,0.0603835665871,0.0121246751545,0.124898550725,0.0193043043043,528735.738885,283.3582375,76.6283679543,0.0410664112319,6900,0,1,0,0,0
True,best_single_expert,evaluator_only_reference,macro_category,5,5,0.602498341703,0.00697100390958,0.799684802919,0.00475119193361,0.0395056577975,0.010294806546,0.0189666394818,0.00491535636787,0.5,0.0505525029603,453265.061665,41351.5041695,65.6905886471,5.99297161876,6900,0,1,0,0,0
