evaluator_only,policy_name,policy_kind,fold,selected_expert,selection_count,selection_rate,num_runs_with_selection,total_runs,oracle_agreement_count,oracle_agreement_rate
True,best_single_expert,evaluator_only_reference,fold0,AnomalyDINO,6900,1,60,60,3638,0.527246376812
True,run_level_oracle,evaluator_only_reference,fold0,AnomalyDINO,3638,0.527246376812,32,60,3638,1
True,run_level_oracle,evaluator_only_reference,fold0,PatchCore,2660,0.385507246377,23,60,2660,1
True,run_level_oracle,evaluator_only_reference,fold0,WinCLIP,602,0.0872463768116,5,60,602,1
True,best_single_expert,evaluator_only_reference,fold1,AnomalyDINO,6900,1,60,60,3478,0.504057971014
True,run_level_oracle,evaluator_only_reference,fold1,AnomalyDINO,3478,0.504057971014,31,60,3478,1
True,run_level_oracle,evaluator_only_reference,fold1,PatchCore,2494,0.361449275362,21,60,2494,1
True,run_level_oracle,evaluator_only_reference,fold1,WinCLIP,928,0.134492753623,8,60,928,1
True,best_single_expert,evaluator_only_reference,fold2,AnomalyDINO,6900,1,60,60,3465,0.502173913043
True,run_level_oracle,evaluator_only_reference,fold2,AnomalyDINO,3465,0.502173913043,32,60,3465,1
True,run_level_oracle,evaluator_only_reference,fold2,PatchCore,2488,0.360579710145,20,60,2488,1
True,run_level_oracle,evaluator_only_reference,fold2,WinCLIP,947,0.137246376812,8,60,947,1
True,best_single_expert,evaluator_only_reference,fold3,PatchCore,6900,1,60,60,2730,0.395652173913
True,run_level_oracle,evaluator_only_reference,fold3,AnomalyDINO,3211,0.465362318841,29,60,3211,1
True,run_level_oracle,evaluator_only_reference,fold3,PatchCore,2730,0.395652173913,24,60,2730,1
True,run_level_oracle,evaluator_only_reference,fold3,WinCLIP,959,0.138985507246,7,60,959,1
True,best_single_expert,evaluator_only_reference,fold4,AnomalyDINO,6900,1,60,60,3508,0.508405797101
True,run_level_oracle,evaluator_only_reference,fold4,AnomalyDINO,3508,0.508405797101,31,60,3508,1
True,run_level_oracle,evaluator_only_reference,fold4,PatchCore,2519,0.365072463768,21,60,2519,1
True,run_level_oracle,evaluator_only_reference,fold4,WinCLIP,873,0.12652173913,8,60,873,1
True,always_anomalydino,realizable_policy,fold0,AnomalyDINO,6900,1,60,60,3638,0.527246376812
True,always_anomalydino,realizable_policy,fold1,AnomalyDINO,6900,1,60,60,3478,0.504057971014
True,always_anomalydino,realizable_policy,fold2,AnomalyDINO,6900,1,60,60,3465,0.502173913043
True,always_anomalydino,realizable_policy,fold3,AnomalyDINO,6900,1,60,60,3211,0.465362318841
True,always_anomalydino,realizable_policy,fold4,AnomalyDINO,6900,1,60,60,3508,0.508405797101
True,always_patchcore,realizable_policy,fold0,PatchCore,6900,1,60,60,2660,0.385507246377
True,always_patchcore,realizable_policy,fold1,PatchCore,6900,1,60,60,2494,0.361449275362
True,always_patchcore,realizable_policy,fold2,PatchCore,6900,1,60,60,2488,0.360579710145
True,always_patchcore,realizable_policy,fold3,PatchCore,6900,1,60,60,2730,0.395652173913
True,always_patchcore,realizable_policy,fold4,PatchCore,6900,1,60,60,2519,0.365072463768
True,always_winclip,realizable_policy,fold0,WinCLIP,6900,1,60,60,602,0.0872463768116
True,always_winclip,realizable_policy,fold1,WinCLIP,6900,1,60,60,928,0.134492753623
True,always_winclip,realizable_policy,fold2,WinCLIP,6900,1,60,60,947,0.137246376812
True,always_winclip,realizable_policy,fold3,WinCLIP,6900,1,60,60,959,0.138985507246
True,always_winclip,realizable_policy,fold4,WinCLIP,6900,1,60,60,873,0.12652173913
True,category_prior,realizable_policy,fold0,AnomalyDINO,4540,0.657971014493,40,60,3170,0.698237885463
True,category_prior,realizable_policy,fold0,PatchCore,1892,0.274202898551,16,60,1543,0.815539112051
True,category_prior,realizable_policy,fold0,WinCLIP,468,0.0678260869565,4,60,117,0.25
True,category_prior,realizable_policy,fold1,AnomalyDINO,4228,0.612753623188,36,60,2759,0.652554399243
True,category_prior,realizable_policy,fold1,PatchCore,2204,0.319420289855,20,60,1643,0.745462794918
True,category_prior,realizable_policy,fold1,WinCLIP,468,0.0678260869565,4,60,117,0.25
True,category_prior,realizable_policy,fold2,AnomalyDINO,4540,0.657971014493,40,60,2826,0.622466960352
True,category_prior,realizable_policy,fold2,PatchCore,1892,0.274202898551,16,60,1106,0.584566596195
True,category_prior,realizable_policy,fold2,WinCLIP,468,0.0678260869565,4,60,117,0.25
True,category_prior,realizable_policy,fold3,AnomalyDINO,4372,0.633623188406,36,60,2802,0.640896614822
True,category_prior,realizable_policy,fold3,PatchCore,2060,0.298550724638,20,60,1502,0.729126213592
True,category_prior,realizable_policy,fold3,WinCLIP,468,0.0678260869565,4,60,117,0.25
True,category_prior,realizable_policy,fold4,AnomalyDINO,3612,0.52347826087,32,60,2493,0.690199335548
